Store Name,EAN/PLU,Root Article Code,LU,LV,SV Code,Description,Must Stock,Delisted,Store Selling Price,Cost Price,Vat,Case Qty,Margin %,DRS,Supplier,Article Linking
241 - RIALTO - O'LEARY,5060221241144,1234306,PCK,1,0,MONSTER MATES GLOW STICK 125GRM 1PCE,Y,,2.00,12.10,23.00%,12,37.99%,N,LAS - LOCAL STORE AMBIENT - 1LOC_SUP,
241 - RIALTO - O'LEARY,5000159457453,1281590,PCK,1,0,MINSTRELS TREAT BAG 105GRM,N,,2.00,21.50,23.00%,16,17.36%,N,LAS - LOCAL STORE AMBIENT - 1LOC_SUP,
241 - RIALTO - O'LEARY,4014400921113,1451187,PCK,2,0,WERTHERS ORIG SUG FR CHEWY TOFFEE 80GRM,N,,3.10,31.04,23.00%,18,31.58%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,8000380007219,1515681,PCK,0,0,LOACKER NAPOLITANER 1PCE,N,,1.85,15.00,23.00%,18,44.59%,N,LAS - LOCAL STORE AMBIENT - 1LOC_SUP,
241 - RIALTO - O'LEARY,5000159561686,1931760,PCK,0,0,M@M,N,,4.40,1.63,23.00%,1,54.43%,N,LAS - LOCAL STORE AMBIENT - 1LOC_SUP,
241 - RIALTO - O'LEARY,992147,1015578,PCK,2,1,KINDER SURPRISE T1 FSDU 20GRM,Y,,1.60,215.89,23.00%,288,42.37%,N,TEN - TENNANT& RUTTLE DISTRIBUTION LTD - 1CB_EURY,*
241 - RIALTO - O'LEARY,54088191,1015578,PCK,6,2,KINDER SURPRISE EGG T48 20GRM,N,,2.15,35.92,23.00%,36,42.92%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,983573,1015578,PCK,5,3,KINDER SURPRISE EGG HOD T192 20GRM,N,,1.90,191.57,23.00%,192,35.41%,N,AUTODROP - AUTODROP MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,50249466,1019335,PCK,2,0,SMARTIES HEXATUBE 38GRM,N,,2.05,21.20,23.00%,24,47.00%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,5900951313134,1024070,PCK,1,1,MILKY WAY STARS BAG 33GRM,N,,2.00,36.44,23.00%,36,37.75%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,1024070-000
241 - RIALTO - O'LEARY,80050094,1027218,PCK,0,0,KINDER CHOC SNACK BAR 21GRM,N,,1.25,19.30,23.00%,36,47.25%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,96049952,1376597,PCK,0,0,CADBURY CHOMP 60G,N,,0.30,11.00,23.00%,60,24.83%,N,LAS - LOCAL STORE AMBIENT - 1LOC_SUP,
241 - RIALTO - O'LEARY,40084701,1447079,PCK,0,0,KINDER CHOCOLATE 100GRM,N,,1.59,38.00,23.00%,40,26.51%,N,LAS - LOCAL STORE AMBIENT - 1LOC_SUP,
241 - RIALTO - O'LEARY,5400265035482,1551067,PCK,0,0,HAMLET BELGIAN CHOC SWEETY BEAR BOX 55GRM,N,,5.00,46.93,23.00%,16,27.85%,N,606 - SHELTON DISTRIBUTERS LTD - 1CB_EURY,
241 - RIALTO - O'LEARY,50237890,1629778,PCK,0,0,KP CHOC DIP`ORIGINAL,N,,1.75,12.69,23.00%,12,25.67%,N,LAS - LOCAL STORE AMBIENT - 1LOC_SUP,
241 - RIALTO - O'LEARY,5021202547563,1840082,PCK,0,0,HANNAH PACKET WHITE JAZZLES 42 GRM,Y,,1.10,11.79,23.00%,24,45.07%,N,606 - SHELTON DISTRIBUTERS LTD - 1CB_EURY,*
241 - RIALTO - O'LEARY,5021202548478,1840082,PCK,1,1,HANNAH PACKET WHITE MICE 42GRM,N,,1.10,11.79,23.00%,24,45.07%,N,606 - SHELTON DISTRIBUTERS LTD - 1CB_EURY,
241 - RIALTO - O'LEARY,5021202548522,1840082,PCK,2,2,HANNAH PACKET MILK CHOCOLATE JAZZLE 42GRM,Y,,1.10,11.79,23.00%,24,45.07%,N,606 - SHELTON DISTRIBUTERS LTD - 1CB_EURY,*
241 - RIALTO - O'LEARY,5908234805666,1854745,PCK,0,0,HAPPY SWING ROLLS NUT 150G,N,,2.50,24.81,13.50%,16,29.60%,N,LAS - LOCAL STORE AMBIENT - 1LOC_SUP,
241 - RIALTO - O'LEARY,8724900520490,1890019,PCK,0,0,HALLOWEEN CHOCOLATE LOLIPOP,N,,1.25,0.50,23.00%,28,98.24%,N,LAS - LOCAL STORE AMBIENT - 1LOC_SUP,
241 - RIALTO - O'LEARY,80874652,1953854,PCK,0,0,KINDER CARDS T2 26GRM,N,,1.10,18.59,23.00%,30,30.71%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,034000433032,1031738,PCK,2,2,REESE'S WHITE PEANUT BUTTER 2 CUP 39.5GRM,N,,1.85,26.57,23.00%,24,26.39%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,034000939572,1031738,PCK,4,4,REESES PEANUT BUTTER CUPS 2 CUP 42GRM,N,,1.90,36.27,23.00%,36,34.78%,N,DELIST - DELISTED MRPI - 1AMBIENT,1031738-005
241 - RIALTO - O'LEARY,9003600540380,1048204,PCK,1,1,LINDT MILK CHOCOLATE GOLF BALLS 110GRM,N,,8.00,52.00,23.00%,10,20.05%,N,AUTODROP - AUTODROP MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,5060088701638,1178875,PCK,1,0,NAKD GINGER BREAD BAR 35GRM,Y,,1.25,11.74,23.00%,18,35.82%,N,769 - BRANDSHAPERS LTD. - 1CB_EURY,*
241 - RIALTO - O'LEARY,5060088701669,1189816,PCK,1,0,NAKD PECAN PIE BAR 35GRM,Y,,1.25,11.74,23.00%,18,35.82%,N,769 - BRANDSHAPERS LTD. - 1CB_EURY,*
241 - RIALTO - O'LEARY,8724900500935,1207145,PCK,0,0,CREST CHOCOLATE WISHES BAR 7GRM,N,,1.70,1.09,23.00%,1,21.14%,N,LAS - LOCAL STORE AMBIENT - 1LOC_SUP,
241 - RIALTO - O'LEARY,5010511479566,1282101,PCK,3,2,POPPETS CHOCOLATE TOFFEE POUCH 130GRM,N,,3.80,21.52,23.00%,9,22.60%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,1282101-005
241 - RIALTO - O'LEARY,5010511479573,1282101,PCK,4,3,POPPETS MINT TOFFEE POUCH 130 GRM,N,,3.80,21.52,23.00%,9,22.60%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,1282101-004
241 - RIALTO - O'LEARY,5010511480760,1282101,PCK,5,4,POPPETS MINTY DARK CHOC MINT CREAMS 100GRM,N,,2.00,11.47,23.00%,9,21.62%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,5010511480753,1282101,PCK,6,5,POPPETS TOFFEE MILK CHOC COATED 100GRM,N,,2.00,11.47,23.00%,9,21.62%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,5098713000306,1323438,PCK,1,0,WALKER'S DOUBLE CHOC TOFFEES 1PCE,N,,1.90,27.51,23.00%,28,36.40%,N,606 - SHELTON DISTRIBUTERS LTD - 1CB_EURY,
241 - RIALTO - O'LEARY,50294251,1329934,PCK,0,0,QUALITY STREET MY GREEN BAR,N,,0.60,6.60,23.00%,30,54.90%,N,LAS - LOCAL STORE AMBIENT - 1LOC_SUP,
241 - RIALTO - O'LEARY,5000159551281,1330169,PCK,0,0,MERRY TEASER REINDEER 29GRM,N,,1.75,29.24,23.00%,32,35.78%,N,AUTODROP - AUTODROP MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,5056357915110,1330169,PCK,2,2,MALTESERS GINGERBREAD REINDEER 29GRM,N,,1.75,29.24,23.00%,32,35.78%,N,AUTODROP - AUTODROP MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,5060088702345,1330192,PCK,0,0,TREK MORNING BERRY FLAPJACK 50GRM,Y,,1.90,16.64,23.00%,16,32.67%,N,769 - BRANDSHAPERS LTD. - 1CB_EURY,*
241 - RIALTO - O'LEARY,5060088702284,1340169,PCK,1,0,TREK COCOA COCONUT 50GRM,N,,1.85,16.64,23.00%,16,30.85%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,5060088702246,1356833,PCK,0,0,TREK ORIGINAL OAT FLAPJACK 50GRM,Y,,1.90,16.64,23.00%,16,32.67%,N,769 - BRANDSHAPERS LTD. - 1CB_EURY,*
241 - RIALTO - O'LEARY,50294398,1391819,PCK,0,0,QS MY ORANGE BAR 35G,N,,0.60,6.60,23.00%,30,54.90%,N,LAS - LOCAL STORE AMBIENT - 1LOC_SUP,
241 - RIALTO - O'LEARY,5020411121182,1400593,PCK,0,0,NUTELLA & GO CASE 48GRM,N,,2.00,11.66,0.00%,12,51.42%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,5060088702994,1411014,PCK,0,0,TREK PROTEIN PEANUT POWER BAR 55GRM,Y,,2.20,18.86,23.00%,16,34.10%,N,769 - BRANDSHAPERS LTD. - 1CB_EURY,*
241 - RIALTO - O'LEARY,5060088706121,1411015,PCK,5,5,NAKD BERRY BLISS 30GRM,Y,,1.20,11.08,23.00%,18,36.91%,N,769 - BRANDSHAPERS LTD. - 1CB_EURY,*
241 - RIALTO - O'LEARY,506088703036,1411024,PCK,0,0,TREK PROTEIN BANANA BLAST BAR 55GRM,Y,,2.20,18.86,23.00%,16,34.10%,N,769 - BRANDSHAPERS LTD. - 1CB_EURY,*
241 - RIALTO - O'LEARY,5060088703014,1411024,PCK,1,1,TREK PROTEIN BERRY BURST BAR 55GRM,Y,,2.20,18.86,23.00%,16,34.10%,N,769 - BRANDSHAPERS LTD. - 1CB_EURY,*
241 - RIALTO - O'LEARY,3800225477895,1442792,PCK,0,0,ROO BAR INCA BERRY 30GRM,Y,,1.69,21.98,23.00%,20,20.01%,N,VKD - FRONTIER FOODS LTD (CB A/C) - 1LOC_SUP,
241 - RIALTO - O'LEARY,8715661017008,1444870,PCK,0,0,TOFFEEBREAK 34GRM,N,,1.00,21.60,23.00%,36,26.20%,N,LAS - LOCAL STORE AMBIENT - 1LOC_SUP,
241 - RIALTO - O'LEARY,4044782388174,1450813,PCK,0,0,WEIDER 40% BODY SHAPER BROWNIE 32GRM,N,,1.99,27.95,23.00%,24,28.02%,N,LAS - LOCAL STORE AMBIENT - 1LOC_SUP,
241 - RIALTO - O'LEARY,4044782388075,1450817,PCK,0,0,WEIDER 40% BODY SHAPER COOKIE&CREAM 32GRM,N,,1.99,27.95,23.00%,24,28.02%,N,LAS - LOCAL STORE AMBIENT - 1LOC_SUP,
241 - RIALTO - O'LEARY,5390691017919,1483944,PCK,0,0,FULFIL PEANUT & CARAMEL PROTEIN BAR 55GRM,N,,3.80,28.57,23.00%,15,38.35%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,5390691017995,1483945,PCK,3,3,FULFIL WHT CHOC & COOKIE DOUGH BAR 55GRM,N,,3.80,28.57,23.00%,15,38.35%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,5390691018022,1483945,PCK,4,4,FULFIL MILK CHOC & MINT BAR 55GRM,N,,3.80,28.57,23.00%,15,38.35%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
