Store Name,Department,Sub Department,Commodity Code,Family Group,EAN/PLU,Root Article Code,LU,LV,SV Code,Description,Size,Must Stock,Delisted,Store Selling Price,Cost Price,Vat,Case Qty,Margin %,DRS,Supplier,Article Linking
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0001 - IMPULSE CONFECTIONERY,C0001 - CHOCOLATE,F0001 - CHOC BAGS,4014400921113,1451187,PCK,2,0,WERTHERS ORIG SUG FR CHEWY TOFFEE,80GRM,N,,3.10,22.50,23.00%,18,50.40%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0001 - IMPULSE CONFECTIONERY,C0001 - CHOCOLATE,F0001 - CHOC BAGS,8000380180721,1515680,PCK,0,0,LOACKER COCOA&MILK,1PCE,N,,3.50,4.00,23.00%,18,92.19%,N,MKD - M&D MKTG/DISTRIB LTD (AMB) - 1LOC_SUP,
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0001 - IMPULSE CONFECTIONERY,C0001 - CHOCOLATE,F0001 - CHOC BAGS,8000380007219,1515681,PCK,0,0,LOACKER NAPOLITANER,1PCE,N,,3.50,36.36,23.00%,18,29.01%,N,LAS - LOCAL STORE AMBIENT - 1LOC_SUP,
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0001 - IMPULSE CONFECTIONERY,C0001 - CHOCOLATE,F0001 - CHOC BAGS,5099877403057,1653906,PCK,0,0,MACAROON CHOCOLATE BITES,,N,,2.50,13.65,23.00%,10,32.84%,N,LOC - LOCAL DUMP SUPPLIER - 1LOC_SUP,
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0001 - IMPULSE CONFECTIONERY,C0001 - CHOCOLATE,F0001 - CHOC BAGS,5099877403040,1653907,PCK,0,0,CLEEVES DARK CHOC CARAMELS,,N,,2.50,13.65,23.00%,10,32.84%,N,LOC - LOCAL DUMP SUPPLIER - 1LOC_SUP,
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0001 - IMPULSE CONFECTIONERY,C0001 - CHOCOLATE,F0004 - CHOC CHILDRENS,4008400836324,1000669,PCK,0,0,HAPPY HIPPO COCOA CREAM [T1,20GRM,Y,,1.00,12.95,13.50%,28,47.51%,N,LAS - LOCAL STORE AMBIENT - 1LOC_SUP,
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0001 - IMPULSE CONFECTIONERY,C0001 - CHOCOLATE,F0004 - CHOC CHILDRENS,992147,1015578,PCK,2,1,KINDER SURPRISE T1 FSDU,20GRM,Y,,1.60,215.89,23.00%,288,42.37%,N,TEN - TENNANT& RUTTLE DISTRIBUTION LTD - 1CB_EURY,*
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0001 - IMPULSE CONFECTIONERY,C0001 - CHOCOLATE,F0004 - CHOC CHILDRENS,54088191,1015578,PCK,6,2,KINDER SURPRISE EGG T48,20GRM,N,,2.20,35.92,23.00%,36,44.22%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0001 - IMPULSE CONFECTIONERY,C0001 - CHOCOLATE,F0004 - CHOC CHILDRENS,983573,1015578,PCK,5,3,KINDER SURPRISE EGG HOD T192,20GRM,N,,1.90,191.57,23.00%,192,35.41%,N,AUTODROP - AUTODROP MRPI - 1AMBIENT,
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0001 - IMPULSE CONFECTIONERY,C0001 - CHOCOLATE,F0004 - CHOC CHILDRENS,50249466,1019335,PCK,2,0,SMARTIES HEXATUBE,38GRM,N,,2.05,21.20,23.00%,24,47.00%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0001 - IMPULSE CONFECTIONERY,C0001 - CHOCOLATE,F0004 - CHOC CHILDRENS,5900951313134,1024070,PCK,1,1,MILKY WAY STARS BAG,33GRM,N,,2.00,36.44,23.00%,36,37.75%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,1024070-000
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0001 - IMPULSE CONFECTIONERY,C0001 - CHOCOLATE,F0004 - CHOC CHILDRENS,80050094,1027218,PCK,0,0,KINDER CHOC SNACK BAR,21GRM,N,,1.25,19.30,23.00%,36,47.25%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0001 - IMPULSE CONFECTIONERY,C0001 - CHOCOLATE,F0004 - CHOC CHILDRENS,5400265035482,1551067,PCK,0,0,HAMLET BELGIAN CHOC SWEETY BEAR BOX,55GRM,N,,5.00,46.93,23.00%,16,27.85%,N,606 - SHELTON DISTRIBUTERS LTD - 1CB_EURY,
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0001 - IMPULSE CONFECTIONERY,C0001 - CHOCOLATE,F0004 - CHOC CHILDRENS,5021202547563,1840082,PCK,0,0,HANNAH PACKET WHITE JAZZLES,42 GRM,Y,,0.90,11.79,23.00%,24,32.86%,N,606 - SHELTON DISTRIBUTERS LTD - 1CB_EURY,*
